stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding
70226,70226,Brandon Hall,Brandon Hall - Green Line - Park Street & North,,Park Street & North,42.340038,-71.128660,,,https://www.mbta.com/stops/place-bndhl,level_median,0,place-bndhl,2
9070225,9070225,Brandon Hall,Brandon Hall - Green Line Cleveland Circle Shuttle,,Cleveland Circle Shuttle,42.340312,-71.128629,,,https://www.mbta.com/stops/place-bndhl,,0,place-bndhl,1
9070226,9070226,Brandon Hall,Brandon Hall - Green Line Eastbound Shuttle,,Eastbound Shuttle,42.339811,-71.128765,,,https://www.mbta.com/stops/place-bndhl,,0,place-bndhl,1
place-bomnl,,Bowdoin,,,,42.361365,-71.062037,,"Cambridge St and New Chardon St/Bowdoin St, Boston, MA 02114",https://www.mbta.com/stops/place-bomnl,,1,,2
70038,70038,Bowdoin,Bowdoin - Blue Line - Wonderland,,Wonderland,42.361365,-71.062037,,,https://www.mbta.com/stops/place-bomnl,level_-1_platform,0,place-bomnl,2
70838,70838,Bowdoin,Bowdoin - Blue Line - Exit Only,,Exit Only,42.361365,-71.062037,,,https://www.mbta.com/stops/place-bomnl,level_-1_platform,0,place-bomnl,2
door-bomnl-main,,Bowdoin - Cambridge St,Bowdoin - Cambridge St,,,42.361350,-71.061971,,,,level_in_street,2,place-bomnl,2
place-boxdt,,Box District,,,,42.394049,-71.028365,,,https://www.mbta.com/stops/place-boxdt,,1,,1
74634,74634,Box District,Box District - Silver Line - SL3 South Station,,South Station,42.394018,-71.028439,,,https://www.mbta.com/stops/place-boxdt,level_ground,0,place-boxdt,1
74635,74635,Box District,Box District - Silver Line - SL3 Chelsea,,Chelsea,42.394168,-71.028452,,,https://www.mbta.com/stops/place-boxdt,level_ground,0,place-boxdt,1
place-boyls,,Boylston,,,,42.353020,-71.064590,,"Boylston St and Tremont St, Boston, MA",https://www.mbta.com/stops/place-boyls,,1,,2
70158,70158,Boylston,Boylston - Green Line - Park Street & North,,Park Street & North,42.352531,-71.064682,,,https://www.mbta.com/stops/place-boyls,level_-1_platform,0,place-boyls,2
70159,70159,Boylston,Boylston - Green Line - Copley & West,,Copley & West,42.353214,-71.064545,,,https://www.mbta.com/stops/place-boyls,level_-1_platform,0,place-boyls,2
door-boyls-inbound,,"Boylston - Boston Common, Street","Boylston - Boston Common, Street",,,42.352531,-71.064685,,,,level_in_street,2,place-boyls,2
door-boyls-outbound,,"Boylston - Boston Common, Street","Boylston - Boston Common, Street",,,42.353214,-71.064546,,,,level_in_street,2,place-boyls,2
place-brdwy,,Broadway,,,,42.342622,-71.056967,,"Dorchester Ave and Broadway, Boston, MA",https://www.mbta.com/stops/place-brdwy,,1,,1
150,150,Broadway Station - Red Line,,,,42.342652,-71.057065,,,https://www.mbta.com/stops/place-brdwy,,0,place-brdwy,0
151,151,W Broadway @ Broadway Station,,,,42.342664,-71.056949,,,https://www.mbta.com/stops/place-brdwy,,0,place-brdwy,1
70081,70081,Broadway,Broadway - Red Line - Ashmont/Braintree,,Ashmont/Braintree,42.342622,-71.056967,,,https://www.mbta.com/stops/place-brdwy,level_-2_platform,0,place-brdwy,1
70082,70082,Broadway,Broadway - Red Line - Alewife,,Alewife,42.342622,-71.056967,,,https://www.mbta.com/stops/place-brdwy,level_-2_platform,0,place-brdwy,1
door-brdwy-main,,Broadway - Broadway,Broadway - Broadway,,,42.342560,-71.056944,,,,level_in_street,2,place-brdwy,1
